Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,as65108-1,Ethernet1,pe,as65108-2,Ethernet1,True
pe,as65108-1,Ethernet2,pe,as65108-3,Ethernet1,True
pe,as65108-1,Ethernet3,other,CORE1,Ethernet11,True
pe,as65108-1,Ethernet4,other,CORE2,Ethernet31,True
pe,as65108-2,Ethernet1,pe,as65108-1,Ethernet1,True
pe,as65108-2,Ethernet2,pe,as65108-3,Ethernet2,True
pe,as65108-2,Ethernet3,other,CORE2,Ethernet11,True
pe,as65108-2,Ethernet4,other,CORE1,Ethernet31,True
pe,as65108-3,Ethernet1,pe,as65108-1,Ethernet2,True
pe,as65108-3,Ethernet2,pe,as65108-2,Ethernet2,True
pe,as65108-3,Ethernet3,other,as65108-cust,Ethernet1,True
pe,as65108-3,Ethernet4,other,IXP,Ethernet18,True
p,as65208-cust,Ethernet1,pe,as65108-3,Ethernet3,True
p,as65208-cust,Ethernet2,other,IXP,Ethernet1,True
