Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,as65111-1,Ethernet1,pe,as65111-2,Ethernet1,True
pe,as65111-1,Ethernet2,pe,as65111-3,Ethernet1,True
pe,as65111-1,Ethernet3,other,CORE1,Ethernet4,True
pe,as65111-1,Ethernet4,other,CORE2,Ethernet24,True
pe,as65111-2,Ethernet1,pe,as65111-1,Ethernet1,True
pe,as65111-2,Ethernet2,pe,as65111-3,Ethernet2,True
pe,as65111-2,Ethernet3,other,CORE2,Ethernet4,True
pe,as65111-2,Ethernet4,other,CORE1,Ethernet24,True
pe,as65111-3,Ethernet1,pe,as65111-1,Ethernet2,True
pe,as65111-3,Ethernet2,pe,as65111-2,Ethernet2,True
pe,as65111-3,Ethernet3,other,as65111-cust,Ethernet1,True
pe,as65111-3,Ethernet4,other,IXP,Ethernet4,True
p,as65211-cust,Ethernet1,pe,as65111-3,Ethernet3,True
p,as65211-cust,Ethernet2,other,IXP,Ethernet1,True
