Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,as65105-1,Ethernet1,pe,as65105-2,Ethernet1,True
pe,as65105-1,Ethernet2,pe,as65105-3,Ethernet1,True
pe,as65105-1,Ethernet3,other,CORE1,Ethernet8,True
pe,as65105-1,Ethernet4,other,CORE2,Ethernet28,True
pe,as65105-2,Ethernet1,pe,as65105-1,Ethernet1,True
pe,as65105-2,Ethernet2,pe,as65105-3,Ethernet2,True
pe,as65105-2,Ethernet3,other,CORE2,Ethernet8,True
pe,as65105-2,Ethernet4,other,CORE1,Ethernet28,True
pe,as65105-3,Ethernet1,pe,as65105-1,Ethernet2,True
pe,as65105-3,Ethernet2,pe,as65105-2,Ethernet2,True
pe,as65105-3,Ethernet3,other,as65105-cust,Ethernet1,True
pe,as65105-3,Ethernet4,other,IXP,Ethernet12,True
p,as65205-cust,Ethernet1,pe,as65105-3,Ethernet3,True
p,as65205-cust,Ethernet2,other,IXP,Ethernet1,True
