Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,as65106-1,Ethernet1,pe,as65106-2,Ethernet1,True
pe,as65106-1,Ethernet2,pe,as65106-3,Ethernet1,True
pe,as65106-1,Ethernet3,other,CORE1,Ethernet9,True
pe,as65106-1,Ethernet4,other,CORE2,Ethernet29,True
pe,as65106-2,Ethernet1,pe,as65106-1,Ethernet1,True
pe,as65106-2,Ethernet2,pe,as65106-3,Ethernet2,True
pe,as65106-2,Ethernet3,other,CORE2,Ethernet9,True
pe,as65106-2,Ethernet4,other,CORE1,Ethernet29,True
pe,as65106-3,Ethernet1,pe,as65106-1,Ethernet2,True
pe,as65106-3,Ethernet2,pe,as65106-2,Ethernet2,True
pe,as65106-3,Ethernet3,other,as65106-cust,Ethernet1,True
pe,as65106-3,Ethernet4,other,IXP,Ethernet14,True
p,as65206-cust,Ethernet1,pe,as65106-3,Ethernet3,True
p,as65206-cust,Ethernet2,other,IXP,Ethernet1,True
