Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,as65109-1,Ethernet1,pe,as65109-2,Ethernet1,True
pe,as65109-1,Ethernet2,pe,as65109-3,Ethernet1,True
pe,as65109-1,Ethernet3,other,CORE1,Ethernet12,True
pe,as65109-1,Ethernet4,other,CORE2,Ethernet32,True
pe,as65109-2,Ethernet1,pe,as65109-1,Ethernet1,True
pe,as65109-2,Ethernet2,pe,as65109-3,Ethernet2,True
pe,as65109-2,Ethernet3,other,CORE2,Ethernet12,True
pe,as65109-2,Ethernet4,other,CORE1,Ethernet32,True
pe,as65109-3,Ethernet1,pe,as65109-1,Ethernet2,True
pe,as65109-3,Ethernet2,pe,as65109-2,Ethernet2,True
pe,as65109-3,Ethernet3,other,as65109-cust,Ethernet1,True
pe,as65109-3,Ethernet4,other,IXP,Ethernet20,True
p,as65209-cust,Ethernet1,pe,as65109-3,Ethernet3,True
p,as65209-cust,Ethernet2,other,IXP,Ethernet1,True
