Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,as65114-1,Ethernet1,pe,as65114-2,Ethernet1,True
pe,as65114-1,Ethernet2,pe,as65114-3,Ethernet1,True
pe,as65114-1,Ethernet3,other,CORE1,Ethernet7,True
pe,as65114-1,Ethernet4,other,CORE2,Ethernet27,True
pe,as65114-2,Ethernet1,pe,as65114-1,Ethernet1,True
pe,as65114-2,Ethernet2,pe,as65114-3,Ethernet2,True
pe,as65114-2,Ethernet3,other,CORE2,Ethernet7,True
pe,as65114-2,Ethernet4,other,CORE1,Ethernet27,True
pe,as65114-3,Ethernet1,pe,as65114-1,Ethernet2,True
pe,as65114-3,Ethernet2,pe,as65114-2,Ethernet2,True
pe,as65114-3,Ethernet3,other,as65114-cust,Ethernet1,True
pe,as65114-3,Ethernet4,other,IXP,Ethernet10,True
p,as65214-cust,Ethernet1,pe,as65114-3,Ethernet3,True
p,as65214-cust,Ethernet2,other,IXP,Ethernet1,True
