Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,as65110-1,Ethernet1,pe,as65110-2,Ethernet1,True
pe,as65110-1,Ethernet2,pe,as65110-3,Ethernet1,True
pe,as65110-1,Ethernet3,other,CORE1,Ethernet3,True
pe,as65110-1,Ethernet4,other,CORE2,Ethernet23,True
pe,as65110-2,Ethernet1,pe,as65110-1,Ethernet1,True
pe,as65110-2,Ethernet2,pe,as65110-3,Ethernet2,True
pe,as65110-2,Ethernet3,other,CORE2,Ethernet3,True
pe,as65110-2,Ethernet4,other,CORE1,Ethernet23,True
pe,as65110-3,Ethernet1,pe,as65110-1,Ethernet2,True
pe,as65110-3,Ethernet2,pe,as65110-2,Ethernet2,True
pe,as65110-3,Ethernet3,other,as65110-cust,Ethernet1,True
pe,as65110-3,Ethernet4,other,IXP,Ethernet2,True
p,as65210-cust,Ethernet1,pe,as65110-3,Ethernet3,True
p,as65210-cust,Ethernet2,other,IXP,Ethernet1,True
