Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,as65113-1,Ethernet1,pe,as65113-2,Ethernet1,True
pe,as65113-1,Ethernet2,pe,as65113-3,Ethernet1,True
pe,as65113-1,Ethernet3,other,CORE1,Ethernet6,True
pe,as65113-1,Ethernet4,other,CORE2,Ethernet26,True
pe,as65113-2,Ethernet1,pe,as65113-1,Ethernet1,True
pe,as65113-2,Ethernet2,pe,as65113-3,Ethernet2,True
pe,as65113-2,Ethernet3,other,CORE2,Ethernet6,True
pe,as65113-2,Ethernet4,other,CORE1,Ethernet26,True
pe,as65113-3,Ethernet1,pe,as65113-1,Ethernet2,True
pe,as65113-3,Ethernet2,pe,as65113-2,Ethernet2,True
pe,as65113-3,Ethernet3,other,as65113-cust,Ethernet1,True
pe,as65113-3,Ethernet4,other,IXP,Ethernet8,True
p,as65213-cust,Ethernet1,pe,as65113-3,Ethernet3,True
p,as65213-cust,Ethernet2,other,IXP,Ethernet1,True
