Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,as65107-1,Ethernet1,pe,as65107-2,Ethernet1,True
pe,as65107-1,Ethernet2,pe,as65107-3,Ethernet1,True
pe,as65107-1,Ethernet3,other,CORE1,Ethernet10,True
pe,as65107-1,Ethernet4,other,CORE2,Ethernet30,True
pe,as65107-2,Ethernet1,pe,as65107-1,Ethernet1,True
pe,as65107-2,Ethernet2,pe,as65107-3,Ethernet2,True
pe,as65107-2,Ethernet3,other,CORE2,Ethernet10,True
pe,as65107-2,Ethernet4,other,CORE1,Ethernet30,True
pe,as65107-3,Ethernet1,pe,as65107-1,Ethernet2,True
pe,as65107-3,Ethernet2,pe,as65107-2,Ethernet2,True
pe,as65107-3,Ethernet3,other,as65107-cust,Ethernet1,True
pe,as65107-3,Ethernet4,other,IXP,Ethernet16,True
p,as65207-cust,Ethernet1,pe,as65107-3,Ethernet3,True
p,as65207-cust,Ethernet2,other,IXP,Ethernet1,True
